lambdas_norm [3.0, 6.0, 9.0] lambda_mult 0.95 musss [[[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]], [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]] alphas [1.0, 0.5, 0.2, 0.1, 0.05, 0.02, 0.01, 0.005, 0.002, 0.001] num_jobs 100000000
seed 0
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.58015661641276;25.096269725204372;24.20217948271645;1.7878343907481573;1.3592767510061916;0.9598937352359136;
0.5;37.57664265946863;41.97469007856955;40.70591982113425;2.9174218832337253;2.1021260507682387;1.371609843909804;
0.2;83.32043433281703;93.27776900607365;90.90307584538171;6.257242535801114;4.312113499949304;2.5876188537445732;
0.1;156.97625421588347;176.1316725912603;171.91664969239017;11.778048561258965;7.983412102570795;4.599663314274906;
0.05;323.244082940287;361.11350448202904;353.15933465507965;23.009396287226586;15.461666791631563;8.697742660282328;
0.02;759.8061489685189;852.6278737303995;833.606465546937;55.9567342437356;37.46130426600915;20.700157766397044;
0.01;1572.0417408359085;1759.071156329685;1721.3273366057294;112.52197125306358;75.10078696665788;41.380600570992456;
0.005;3000.4979064272475;3373.3250368534295;3298.4068937112875;223.99575271883037;149.42174685793432;82.08497766753115;
0.002;6230.762545976144;7128.042182734561;6946.433206187206;538.0672139431836;359.8007918152928;196.4736506724408;
0.001;18052.0081972679;19887.567586486486;19531.25604952623;1105.3554835811299;730.7944456470955;406.55452778692353;
seed 3
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;7.896958825331312;7.585068279920818;7.295039979502982;0.5678922451872724;0.46732282766208477;0.5395819085796276;
0.5;8.596781916353253;8.262394854393191;7.962780070126614;0.5823836666347638;0.4700238792532102;0.5507399920259032;
0.2;10.345895732540574;9.981762494901874;9.671177215042468;0.6000067847558811;0.4741834677201612;0.5639044787133467;
0.1;13.113169082019878;12.730897258171435;12.413868491058404;0.6109640622190748;0.47759172690438373;0.5719636112759976;
0.05;18.756316359130317;18.359252268307888;18.037718543170275;0.6198077330349244;0.4807561858092858;0.5782044860919648;
0.02;35.128536393225204;34.719185141849216;34.3947807325297;0.6271175333490636;0.48354213374835747;0.5836392993055796;
0.01;62.71744003499098;62.30416970437121;61.97722428168095;0.6300341682997891;0.48501192688030537;0.5861269328701112;
0.005;118.87594465859813;118.4624297762122;118.13400170300086;0.6308437357971338;0.4854467175842051;0.587104423426779;
0.002;283.3230392015855;282.9066945251999;282.5774987212932;0.6324784218413476;0.4860802339601085;0.5883218437573996;
0.001;565.527889104375;565.112404859715;564.783122771176;0.6322685540980991;0.4859107369112584;0.5883067999762601;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.27983019916241;24.785475009898594;23.895987799018062;1.7826920528909949;1.3544188797374597;0.9585900553875756;
0.5;37.417781377440114;41.812086333810875;40.548950425646346;2.9169229103239425;2.099544486354155;1.372214900825562;
0.2;83.55951890065658;93.54231029537473;91.15661067703924;6.27079928652218;4.324195334718695;2.5904697555221063;
0.1;156.08021817554655;175.2764810172819;171.04144013761015;11.798478766853723;8.003781246208577;4.604214480550097;
0.05;317.2189872883451;354.95492561406985;346.9943176915297;22.918348663499014;15.418884805268442;8.657431230112962;
0.02;764.8538298591201;857.884803668635;838.7583114380823;56.061667473883375;37.56609615097321;20.731657197660585;
0.01;1484.058274465937;1667.933117091187;1630.809214120121;110.62547263753802;73.8429534791776;40.71328533667832;
0.005;2719.938835599187;3085.247649323692;3011.526702158606;219.38292966120812;146.5166730014479;80.30482911561701;
0.002;8736.840364891212;9684.427297131997;9495.49652360662;569.1652748605723;379.0109738198634;208.44948107041586;
0.001;16020.988209659876;17889.215919399005;17514.81288640783;1121.1021013731747;747.7146831198637;409.0974002494227;
seed 4
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;7.972944998774828;7.661364656546589;7.371201001519852;0.5680073964900523;0.4673840902017964;0.5397438111496772;
0.5;8.619144418514663;8.28540884174966;7.985500474025812;0.582359478525524;0.47014362597752546;0.5507490139754903;
0.2;10.367034750148264;10.003681369057638;9.692771881756276;0.6000828105107543;0.47426969467429947;0.563908810387113;
0.1;13.331771296582675;12.949249452102954;12.632444758369566;0.6111659720703699;0.4776047328226754;0.5720157215460393;
0.05;18.76736841367989;18.371291552904243;18.049909954193147;0.6193139634772126;0.480561081938303;0.5781176093327306;
0.02;35.80103793718982;35.39317574997481;35.06827984126229;0.6268729641552512;0.4835865781380995;0.5835936438383567;
0.01;64.43325731178419;64.02105574297359;63.69367404242595;0.6299212432105006;0.48498729509310295;0.586132008129182;
0.005;120.7755474392143;120.36074728463664;120.0331754490332;0.6313476764878708;0.48558829233205714;0.5872648252655607;
0.002;272.77298393407983;272.3589840144049;272.0325916076245;0.6310373205560874;0.4856350517901469;0.5866585076618203;
0.001;559.9424037440148;559.5288349131455;559.2010419915772;0.6313775336587963;0.48568286632036317;0.5873420031763954;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.549102000429585;25.061473755381936;24.166398685299487;1.7850994116013736;1.3583235065901422;0.9581759040089155;
0.5;37.73264790457928;42.14108793619826;40.87593757068763;2.9255344772756993;2.104410298005183;1.375036120821296;
0.2;83.37476969951709;93.35043195007147;90.97248989661712;6.268410325750025;4.319343372442779;2.5911525117418894;
0.1;162.16563018609935;181.49027056957314;177.26415530944243;11.887053688151775;8.043710695878598;4.644780001877787;
0.05;320.80645976344726;358.46622704265064;350.55688551406433;22.884498101889495;15.376494172158926;8.650271843625665;
0.02;766.995967302049;860.4196142066104;841.3630634280837;56.34624480598842;37.67368680204037;20.86425737088686;
0.01;1660.8678611914636;1847.32249307685;1809.89381841363;112.24349779757382;74.8044210186388;41.31960791808323;
0.005;2873.8677488719804;3242.623854331201;3168.0549423922594;221.39789517969885;147.94808743271338;80.98711788766808;
0.002;7030.4640229589295;7923.593485196626;7745.212308145322;536.3768335184425;357.3409728944164;196.54456045163002;
0.001;18400.092048662704;20379.99317509312;19985.136967433107;1188.7338895853013;791.7567984029514;433.73882452712536;
seed 5
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;8.022784884070298;7.71080532888414;7.4204744872974855;0.568164058107939;0.4673220840160356;0.5398446528145255;
0.5;8.678064417342103;8.344275087205022;8.044338183190328;0.5825222079578325;0.4702808642730575;0.5510697265310837;
0.2;10.42342482785183;10.060022276412074;9.74912245411829;0.5999388681351964;0.4742594214922331;0.5639782921551266;
0.1;13.327289093640378;12.945257038482746;12.628343287220112;0.6108928347658672;0.4775196904699625;0.5719838702677661;
0.05;19.179398205016202;18.78270528588116;18.460995731992522;0.6199416097206992;0.4808806697810686;0.5787611721932395;
0.02;35.54458792375044;35.136540311970435;34.81131990087489;0.6268062673725511;0.4836322192686389;0.5838244594864819;
0.01;63.40527537908167;62.99272767733213;62.665985891864665;0.6298404630947655;0.48484488800026465;0.586091416718037;
0.005;124.61765901433449;124.20428907505313;123.87483779016392;0.6310813344902301;0.48549328047217205;0.5877778926485889;
0.002;273.78335840934875;273.3703453955723;273.04249101742903;0.6309068634414486;0.4856442734616887;0.5870344642844614;
0.001;546.0316305943456;545.6182118906428;545.2900075269158;0.6312072442336747;0.48568362044230085;0.587257563059952;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.5876015082476;25.100687605358655;24.208323685477072;1.7866594294497256;1.3577472460462925;0.9598238626082803;
0.5;38.04153328653232;42.43409708686893;41.16851046534263;2.9149040899206455;2.099667804746613;1.37141331735664;
0.2;84.83599441119996;94.8218697027301;92.43515239074718;6.27224590753363;4.325419322583023;2.5912859672851845;
0.1;159.95474324336766;179.1582203227729;174.9317413000317;11.806080643574786;8.003396152379922;4.605132750735102;
0.05;310.1224652713078;347.73593803440434;339.8443868274463;22.859773878857855;15.355077373816426;8.644992411040029;
0.02;769.7948539329723;862.8802653347664;843.9142876362738;56.151172760266796;37.530651177009254;20.807836542176414;
0.01;1555.8312202029203;1739.0906131006102;1701.9699951633704;110.21554854930586;73.63629898077649;40.51837411733443;
0.005;2936.044707573659;3307.149309679852;3232.2373835704307;222.8500306648289;148.84559874465089;81.62805547204064;
0.002;8143.894018435058;9066.19233396829;8880.587122472181;553.4147500201632;369.47224479006087;201.79137647915584;
0.001;11894.34850190807;13663.455563979242;13300.45007308255;1058.8197151522265;710.8744688656137;383.59582889328647;
seed 6
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;7.939426559510022;7.627385408209703;7.3371166848873495;0.5680336287380752;0.46727883039787105;0.539825365366213;
0.5;8.556682271401193;8.222398158163505;7.922528292547566;0.5822704346618304;0.47009816719416825;0.5507236007004445;
0.2;10.433566848169558;10.069982492648935;9.759033701086688;0.6000916630941069;0.4742614207839951;0.5640525435572306;
0.1;13.248542631093155;12.86609943690238;12.548944960765343;0.6111936779089998;0.47750287984776324;0.5721521906552669;
0.05;18.804183828343827;18.406849428836374;18.085667011398005;0.6199237667146595;0.48078845125887604;0.57833313811798;
0.02;35.500321504987184;35.09236000389717;34.76689552506932;0.6269440173992954;0.48365815327445344;0.5837879361585958;
0.01;64.02707244845287;63.613081138374014;63.2865791429106;0.630173077063249;0.48501193246786406;0.5860218401328481;
0.005;120.11787416198091;119.70397254534447;119.37576524898161;0.6311095650185284;0.48551686491930607;0.5870312041128691;
0.002;297.67071766539993;297.2500534922924;296.9218220304425;0.6340796832145745;0.4865932139057069;0.5887064304623092;
0.001;524.0190796116794;523.5996377435733;523.2731355985574;0.6333497125333564;0.48634076845980906;0.5878191607058917;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.4665851757729;24.978988409022094;24.0863682063829;1.7861148444527601;1.3577053271841735;0.9592294476296245;
0.5;37.39300584195089;41.789772087303234;40.52405359712281;2.9179064242524606;2.1011398465398123;1.372359273976413;
0.2;81.5010871418719;91.44032034483698;89.07065192613672;6.246860300513549;4.304310633168792;2.5846867762354715;
0.1;151.48264791133536;170.57208181624287;166.35146420086207;11.732214161598566;7.96332566854652;4.5772874727298225;
0.05;315.44058130534063;352.99742937715257;345.10622364234956;22.82199982138318;15.336407191498841;8.628948843751365;
0.02;753.1615056105322;845.4985569713065;826.7829381243643;55.73576782118319;37.197781963078015;20.67498600609818;
0.01;1556.2838698973944;1742.1273851528072;1704.6425703953814;111.81801219051198;74.61898449456166;41.10124117362254;
0.005;3477.494977138448;3853.3783752404092;3778.93434182522;226.19217724504577;150.28267023699422;83.15344619529952;
0.002;7831.761928685254;8772.140970871667;8585.511664553336;565.1278116656398;375.84056944078606;207.16351959703346;
0.001;16061.23398876603;17946.64479854515;17564.990809998464;1130.141102752827;755.8589891335847;411.31328241449455;
seed 7
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;7.9546988538410375;7.643109889183121;7.352899018787285;0.568002849295149;0.467305156670924;0.5396831566668822;
0.5;8.605236029828163;8.270987726013008;7.970942168713666;0.5824083506764011;0.47015140027611146;0.550967855461696;
0.2;10.401853314806631;10.038321911672629;9.727254626389549;0.5998859416015111;0.4742691739979341;0.5639012699351231;
0.1;13.15527901306292;12.772378891030156;12.454882627403272;0.6112031267902134;0.4775883542935083;0.5720394237956072;
0.05;19.03758849867317;18.639304504374007;18.31739139558152;0.6202581458866934;0.4808030486950991;0.578604813986663;
0.02;35.71231553575119;35.30323697147785;34.97825074456644;0.6271780986151957;0.48375293881279485;0.5838981383275359;
0.01;65.1377711338545;64.72574100201594;64.39739413490116;0.6298237244668331;0.48499703237155173;0.586586540045426;
